'Puzzle',3.8086206896551733,175
'Fighting',3.4309859154929576,71
69,14.0,1
'RPG',3.835087719298245,520
'Adventure',3.7785429141716507,1009
'Card&BoardGame',3.6187500000000004,16
'Tactical',3.756,50
'Racing',3.5452380952380955,42
'VisualNovel',4.0028169014084485,71
inAustraliaonOctober11,2012.0,2
'Indie',3.7031802120141375,284
'Strategy',3.57605633802817,142
231,874.0,1
'Pinball',3.5,1
'MOBA',2.3000000000000003,3
'Brawler',3.7726114649681532,159
'Music',3.5799999999999996,25
'Arcade',3.576388888888889,73
'RealTimeStrategy',3.66,10
'Platform',3.700000000000001,328
'TurnBasedStrategy',3.8868686868686853,99
'Point-and-Click',3.64782608695652,46
"",3.6500000000000004,3
'Shooter',3.6695156695156728,353
'Sport',3.529166666666667,24
'Quiz/Trivia',3.275,4
'Simulator',3.6648000000000014,125
